Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm,ID,Missing_Data,Latitude,Longitude,KF_Acc015
4,2000,4,57,Test,5,13,378009.6251,3974727.907,0,2000-07-16 00:00:00,447.454508,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.148525,0.87824791,0.664111877,0.0,1.525,1.78,,63,1,35.90925606418565,-106.35194259686308,0.0
4,2000,4,58,Test,5,13,377879.6251,3974487.907,0,2000-07-16 00:00:00,659.451393,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.4945091,0.5048946,0.504251312,0.0,1.525,1.78,,64,1,35.907076582008294,-106.35334610082884,0.0
4,2000,4,59,Test,5,13,378454.6251,3974357.907,0,2000-07-16 00:00:00,576.986342,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.251765,0.433131027,0.86654071,0.9794608,1.525,1.78,,65,1,35.905976455986185,-106.34695563608028,1.49367772
5,2002,5,60,Test,2,13,297511.963,4380790.418,0,2002-08-05 00:00:00,2418.05,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.03144,0.321138954,0.456557037,0.33,6.8575,7.11,7.37,66,0,39.5529206017455,-107.35674805202528,2.262975
5,2002,5,60,Test,2,13,297511.963,4380790.418,0,2002-09-11 00:00:00,2418.05,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.03144,0.321138954,0.456557037,0.33,2.0325,2.03,2.03,67,0,39.5529206017455,-107.35674805202528,0.6707250000000001
5,2002,5,60,Test,2,13,297511.963,4380790.418,0,2002-09-12 00:00:00,2418.05,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.03144,0.321138954,0.456557037,0.33,2.54,3.05,3.05,68,0,39.5529206017455,-107.35674805202528,0.8382000000000001
5,2002,5,61,Test,2,13,297741.963,4380490.418,1,2002-08-05 00:00:00,2642.46,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.12666,0.284158421,0.428611572,0.33,6.8575,7.11,7.37,69,0,39.55027397506191,-107.35398188775098,2.262975
5,2002,5,61,Test,2,13,297741.963,4380490.418,0,2002-09-11 00:00:00,2642.46,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.12666,0.284158421,0.428611572,0.33,2.0325,2.03,2.03,70,0,39.55027397506191,-107.35398188775098,0.6707250000000001
5,2002,5,61,Test,2,13,297741.963,4380490.418,0,2002-09-12 00:00:00,2642.46,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.12666,0.284158421,0.428611572,0.33,2.54,3.05,3.05,71,0,39.55027397506191,-107.35398188775098,0.8382000000000001
5,2002,5,62,Test,2,13,297781.963,4380415.418,1,2002-08-05 00:00:00,2503.87,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.167619,0.443624802,0.473171967,0.33,6.8575,7.11,7.37,72,0,39.54960818403238,-107.3534938905439,2.262975
5,2002,5,62,Test,2,13,297781.963,4380415.418,0,2002-09-11 00:00:00,2503.87,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.167619,0.443624802,0.473171967,0.33,2.0325,2.03,2.03,73,0,39.54960818403238,-107.3534938905439,0.6707250000000001
5,2002,5,62,Test,2,13,297781.963,4380415.418,0,2002-09-12 00:00:00,2503.87,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.167619,0.443624802,0.473171967,0.33,2.54,3.05,3.05,74,0,39.54960818403238,-107.3534938905439,0.8382000000000001
5,2002,5,63,Test,2,13,299111.963,4380362.918,0,2002-08-05 00:00:00,3916.16,2002-08-05 06:10:00,2002-08-05 21:40:00,16.0,21.082,1.317625,,31.496,16.764,0.0472913,0.274709778,0.897331726,0.3300001,,15.748,16.764,75,1,39.549447853914785,-107.33801108464606,
5,2002,5,64,Test,2,13,298221.963,4380240.418,0,2002-08-05 00:00:00,3051.28,2002-08-05 06:10:00,2002-08-05 21:40:00,16.0,21.082,1.317625,,31.496,16.764,0.0443857,0.964795837,0.99743866,0.33,,15.748,16.764,76,1,39.54813622671809,-107.34832389601117,
5,2002,5,64,Test,2,13,298221.963,4380240.418,0,2002-09-11 00:00:00,3059.44,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.0443857,0.964795837,0.99743866,0.33,2.0325,2.03,2.03,77,0,39.54813622671809,-107.34832389601117,0.6707250000000001
5,2002,5,64,Test,2,13,298221.963,4380240.418,0,2002-09-12 00:00:00,3059.44,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.0443857,0.964795837,0.99743866,0.33,2.54,3.05,3.05,78,0,39.54813622671809,-107.34832389601117,0.8382000000000001
5,2002,5,65,Test,2,13,297999.463,4380317.918,0,2002-09-11 00:00:00,2730.95,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.1702333,0.338310471,0.375273285,0.33,2.0325,2.03,2.03,79,0,39.54878161761,-107.35093489991615,0.6707250000000001
5,2002,5,65,Test,2,13,297999.463,4380317.918,0,2002-09-12 00:00:00,2730.95,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.1702333,0.338310471,0.375273285,0.33,2.54,3.05,3.05,80,0,39.54878161761,-107.35093489991615,0.8382000000000001
5,2002,5,66,Test,2,13,298621.963,4380325.418,0,2002-08-05 00:00:00,3274.18,2002-08-05 06:10:00,2002-08-05 21:40:00,16.0,21.082,1.317625,,31.496,16.764,0.1739,0.887678452,0.860411011,0.33,,15.748,16.764,81,1,39.548995416738485,-107.34369805294853,
5,2002,5,66,Test,2,13,298621.963,4380325.418,0,2002-09-11 00:00:00,3448.14,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.1739,0.887678452,0.860411011,0.33,2.0325,2.03,2.03,82,0,39.548995416738485,-107.34369805294853,0.6707250000000001
5,2002,5,66,Test,2,13,298621.963,4380325.418,0,2002-09-12 00:00:00,3448.14,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.1739,0.887678452,0.860411011,0.33,2.54,3.05,3.05,83,0,39.548995416738485,-107.34369805294853,0.8382000000000001
5,2002,5,67,Test,2,13,299456.963,4379920.418,0,2002-08-05 00:00:00,3930.55,2002-08-05 06:10:00,2002-08-05 21:40:00,16.0,21.082,1.317625,,31.496,16.764,3.5434043,0.071391916,0.175266312,0.3414255,,15.748,16.764,84,1,39.54554469959748,-107.33386543358898,
5,2002,5,68,Test,2,13,299161.963,4385745.418,0,2002-08-05 00:00:00,2269.02,2002-08-05 06:00:00,2002-08-05 22:00:00,16.5,10.16,0.615758,,12.192,7.112,3.9553876,0.014262708,0.161342682,0.2628282,,6.096,7.112,85,1,39.597917916077684,-107.33905848689211,
